n-seri,n-para,result,finished soc,pack weight kg,DOD,max cell voltage,min cell voltage,total loss wh
112,2,Passed,48.18110225266347,22.4,9.948337653332068,3.7987294607401014,3.1457503891280534,110.37390762790106
110,2,Passed,48.11610481090386,22.0,10.1487250993368,3.8023954043379495,3.1363184468738776,112.78776985394441
108,2,Passed,48.04726130563305,21.6,10.357479489820001,3.806190688946378,3.126467480829783,115.3137645915654
106,2,Passed,47.974250566834556,21.2,10.575146139167764,3.8101223005288327,3.11616843335102,117.96038279838301
104,2,Passed,47.89671718755322,20.8,10.802318951530218,3.8141977386646477,3.1053893495819866,120.73656124654876
102,2,Passed,47.814265448880555,20.4,11.039647426758592,3.818425064753003,3.094095136645148,123.65240723165137
100,2,Passed,47.726454072712535,20.0,11.28784302340869,3.82281295576284,3.082247110694332,126.71914057401706
182,1,Passed,47.25022495214542,18.2,12.562124617027123,3.844814564254705,3.020814000822863,142.75883071254268
180,1,Passed,47.187424376462694,18.0,12.722157664542578,3.847515878005175,3.0130258784421566,144.8097711464112
178,1,Passed,47.12226717249714,17.8,12.88643175083056,3.850274543251388,3.0050140695609997,146.92393927215724
176,1,Passed,47.054628569420665,17.6,13.055123115008875,3.8530924125239037,2.9967684670891157,149.1044439819341
174,1,Passed,46.98437509753558,17.4,13.228418254168773,3.855971419277331,2.988278322645679,151.35460913471096
172,1,Passed,46.91136382124287,17.2,13.406514710606984,3.8589135823720553,2.9795321928461105,153.67799303169912
170,1,Passed,46.835441488745644,17.0,13.589621935739785,3.861921010858069,2.9705178798820446,156.07841010166104
168,1,Passed,46.756443587575866,16.8,13.777962239926254,3.8649959090849664,2.961222365647216,158.5599551006054
166,1,Passed,46.67419329333794,16.6,13.971771838771836,3.868140582164468,2.951631738544174,161.12703018018138
164,1,Passed,46.588500297052676,16.4,14.171302008055797,3.8713574418142125,2.9417311119668756,163.78437523842504
162,1,Passed,46.499159494102706,16.2,14.376820361282313,3.8746490126143596,2.931504533287536,166.53710203746317
160,1,Passed,46.40594895505266,16.0,14.588612266044784,3.8780179387115132,2.9209348819767746,169.39072117943624
158,1,Passed,46.30860113626546,15.8,14.80698241799432,3.881466991007859,2.9100037552464477,172.35060701286957
156,1,Passed,46.20688184597242,15.6,15.03226896587843,3.8849990748771073,2.898516213107704,175.42236398349797
154,1,Passed,46.10050984895178,15.4,15.264822226723275,3.8886172384529756,2.8865675914350155,178.61289712623054
152,1,Passed,45.98917939869217,15.2,15.505018299809663,3.8923246815405808,2.874178417862906,181.92968837466228
150,1,Passed,45.87255768748108,15.0,15.753261299410127,3.8961247652062148,2.8613223405463346,185.38089540248478
148,1,Passed,45.75028017215671,14.8,16.0099880520254,3.90002102210672,2.847970090175084,188.9752893953288
146,1,Passed,45.621948204729314,14.6,16.27566952775164,3.90401716762616,2.834090315142483,192.72308668724256
144,1,Passed,45.487129483920086,14.4,16.550809405243996,3.9081171118945566,2.819649682782388,196.6348284614053
142,1,Passed,45.345347894360664,14.2,16.83595621184778,3.9123249727716423,2.8046109028604893,200.72224890876106
140,1,Passed,45.196078157310346,14.0,17.131705219613842,3.916645089887552,2.788933054787417,204.99840748395377
138,1,Passed,45.0387400708128,13.8,17.438703804025536,3.9210820398426014,2.7725710867450215,209.4777883229509
136,1,Passed,44.87269063327303,13.6,17.75766012828992,3.9256406526797547,2.7554745326101355,214.17631337641836
134,1,Passed,44.697218845744445,13.4,18.08934714082789,3.9303260297563622,2.7375879020646625,219.1118045726401
132,1,Passed,44.51151988931507,13.2,18.434607877601515,3.935143563156366,2.718850767105865,224.3045247171547
